aleph						ālef
hyderabad	                hδđarābād
imran	                  	emrān
indians	                  	en-deyan-s
ish	                  		es-h
ishan	                  	es-hān
ishank	                  	es-hāŋk
iyer	                  	δyar
jadeja	                  	jadλjā
jadhav	                  	ɉāđ-haw
jagadeesan	                jagađees-han
jaggi	                  	jag-gee
jason	                  	jλysan
jasprit	                  	jasp-reŧ
jatin	                  	jaŧen
javon	                  	javön
jayant	                  	jayan-ŧ
jaydev	                  	jayđλw
jofra	                  	jöf-rā
johnson	                  	jānsan
jordan	                  	jördan
jos	                  		jös
joshi	                  	ɉos-hee
jp	                  		jλ pee
junior	                  	j-yuneyr
kagiso	                  	kageso
kalra	                  	kālrā
kamlesh	                  	kamlλs-h
kane	                  	kλyn
kanishk	                  	kanes-h-k
karn	                  	kār-л
karthik	                  	kārŧek
karun	                  	karuл
kaul	                  	kål
kedar	                  	kλđār
khaleel	                  	k-haleel
khan	                  	k-hān
khejroliya	                k-hλjroleya
kieron	                  	keyaran
kings	                  	keŋg-z
kishan	                  	kes-han
kl	                  		kλ λl
klaasen	                  	k-laasλn
knight	                  	nδt
kock	                  	kök
kohli	                  	kohlee
kolkata	                  	kolkaŧā
krishna	                  	k-rus-hлa
krishnappa	                k-rus-hлap-pā
krunal	                  	k-ruлāl
kshitiz	                  	k-s-heŧej
kuldeep	                  	kulđeep
kulkarni	                kul-kar-лee
kulwant	                  	kulwan-ŧ
kumar	                  	kumār
lad	                  		lād
lamichhane	                lamec-hānλ
laughlin	                laflen
lewis	                  	lues
liam	                  	leyam
lomror	                  	lomror
lumba	                  	lum-bā
lungi	                  	luŋge
lynn	                  	len-n
m.	                  		λm
mahipal	                  	mahepāl
mandeep	                  	manđeep
manish	                  	manes-h
manjot	                  	manjoŧ
manoj	                  	manoj
manzoor	                  	man-suur
marcus	                  	mār-kas
mark	                  	mār-k
markande	                mār-kan-dλ
mavi	                  	māwe
maxwell	                  	m@k-swλl-l
mayank	                  	māyaŋk
mcclenaghan	                maklλnahan
mccullum	                makalam
mehdi	                  	mλhdee
midhun	                  	meŧ-hun
miller	                  	mel-lar
milne	                  	mel-na
mishra	                  	mes-hrā
mitchell	                mec-cλl
moeen	                  	moeen
mohammed	                maham-mađ
mohit	                  	moheŧ
mohsin	                  	mohsen
monu	                  	monu
morris	                  	möres
ms	                  		λmλs 
mujeeb	                  	mujeeb
mumbai	                  	mumbaee
munro	                  	man-ro
murali	                  	muralee
murugan	                  	murugan
mustafizur	                mus-ŧafezur
nabi	                  	nābee
nadeem	                  	nađeem
nagarkoti	                nāgarkotee
nair	                  	nāyr
naman	                  	naman
narayan	                  	nārāyaл
narine	                  	narλn
natarajan	                natarājan
nath	                  	nāŧ-t
nathan	                  	nayŧ-han
navdeep	                  	nawđeep
negi	                  	nλgee
ngidi	                  	ŋgede
nidheesh	                neđ-hees-h
nitish	                  	neŧes-h
ojha	                  	ozā
pakteen	                  	pakŧeen
pandey	                  	pđn-dλ
pandya	                  	pand-yā
pant	                  	pan-ŧ
pardeep	                  	pardeep
parthiv	                  	pārŧ-hew
pat	                  		p@t
patel	                  	patλl
pathan	                  	pat-haл
pavan	                  	pawan
pawan	                  	pawan
piyush	                  	peyus-h
plessis	                  	p-les-see
plunkett	                plaŋkλt-t
pollard	                  	pöl-lar-d
pradeep	                  	p-rađeep
prashant	                p-ras-hān-ŧ
prasidh	                  	p-raseđ=h
prithvi	                  	p-ruŧ-h-we
punjab	                  	panjāb
quinton	                  	k-wentan
rabada	                  	rabādā
rahane	                  	rahāлλ
rahman	                  	rahmān
rahul	                  	rāhul
raina	                  	rδnā
rajasthan	                rajasŧ-hān
rajpoot	                  	rājpuuŧ
rana	                  	rāлā
rashid	                  	ras-heđ
ravichandran	            rawecanđ-ran
ravindra	                raven-đ-ra
rayudu	                  	rāydu
ricky	                  	reke
riders	                  	rāydar-z
rinku	                  	reŋ-ku
rishabh	                  	res-hab-h
robin	                  	rāban
rohit	                  	roheŧ
roy	                  		röy
royal	                  	röyal
royals	                  	röyal-s
russell	                  	rasal
sachin	                  	sacen
saha	                  	sāhā
sahu	                  	sāhu
saini	                  	sδne
sam	                  	 	s@m
samson	                  	s@msan
sandeep	                  	sanđeep
sangwan	                  	saŋgwan
sanju	                  	san-ju
santner	                  	s@n-tnar
sarfaraz	                sarfarāz
saurabh	                  	sårab-h
saxena	                  	sak-sλnā
sayan	                  	sayan
searles	                  	sar-l-z
seth	                  	s-hλt-h
shahbaz	                  	s-hāhbaɉ
shakib	                  	s-hakeeb
shami	                  	s-hāmee
shane	                  	s-hλyn
shankar	                  	s-haŋ-kar
sharad	                  	s-harađ
shardul	                  	s-hār-đul
sharma	                  	s-harmā
shaw	                  	s-hö
shikhar	                  	s-hek-har
shivam	                  	s-hewam
shorey	                  	s-horey
short	                  	s-hör-t
shreevats	                s-hreewaŧ-s
shreyas	                  	s-h-rλyas
shubman	                  	s-hubman
siddarth	                seđ-đārŧ-h
siddhesh	                seđ-đ-hλs-h
singh	                  	seŋg
siraj	                  	serāj
smith	                  	s-meŧ-h
sodhi	                  	sođ-hee
southee	                  	såđee
sran	                  	s-raл
stanlake	                s-tanlλk
starc	                  	s-tār-k
steve	                  	s-teev
stoinis	                  	s-töynes
stokes	                  	s-towk-s
stuart	                  	s-tuar-t
sudhesan	                suđλs-han
sundar	                  	sunđar
sunil	                  	sunel
sunrisers	                sanrδzar-z
super	                  	supar
suresh	                  	surλs-h
suryakumar	                sur-yakumār
syed	                  	say-yađ
t	                  		te
tahir	                  	ŧāher
tajinder	                ŧājenđar
tanmay	                  	ŧan-may
tare	                  	ŧārλ
tewatia	                  	ŧewāŧeya
thakur	                  	t-hākur
thampi	                  	ŧam-pe
tim	                  		tem
tiwary	                  	ŧewaree
tom	                  		töm
trent	                  	t-rλn-t
tripathi	                ŧ-repāt-hee
tye	                  		tāy
umesh	                  	umλs-h
unadkat	                  	unādkat
ur	                  		ur
uthappa	                  	uŧ-ŧap-pā
vijay	                  	wejay
villiers	                vel-leyarz
vinay	                  	wenay
virat	                  	werāt
vohra	                  	vorā
wankhade	                wankhadλ
warner	                  	wör-nar
washington	                wλs-heŋgtan
watson	                  	wöt-san
willey	                  	wel-lee
williamson	                wel-yamsan
woakes	                  	woak-s
wood	                  	wuud
wriddhiman	                w-ruđ-đ-hemān
xi	                  		elλvan
yadav	                  	yāđaw
yusuf	                  	yusuf
yuvraj	                  	yuwraj
yuzvendra	                yujwλn-đra
zahir	                  	zāheer
